job_title,job_detail_url,job_listed,company_name,company_link,company_location
Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-philip-morris-international-4145076060?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=vz93ptVfc3OiWzX4PuUDqQ%3D%3D&position=7&pageNum=27,2 days ago,Philip Morris International,https://ch.linkedin.com/company/insidepmi?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
🚀 DATA ENGINEER / PROYECTO LIDER SECTOR GRAN CONSUMO / FULLREMOTE 🚀,https://es.linkedin.com/jobs/view/%F0%9F%9A%80-data-engineer-proyecto-lider-sector-gran-consumo-fullremote-%F0%9F%9A%80-at-decskill-espa%C3%B1a-4141672771?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=jcIE%2F%2BZDo9f7%2BbSEnvO4vQ%3D%3D&position=8&pageNum=27,4 days ago,Decskill España,https://es.linkedin.com/company/decskill-espa%C3%B1a?trk=public_jobs_jserp-result_job-search-card-subtitle,Spain
BIG DATA ARCHITECT  SENIIOR– HIBRIDO – INGLES,https://es.linkedin.com/jobs/view/big-data-architect-seniior%E2%80%93-hibrido-%E2%80%93-ingles-at-irium-4122361254?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=OPoP7kkxk8geIejcMizxBg%3D%3D&position=9&pageNum=27,4 weeks ago,IRIUM,https://es.linkedin.com/company/irium-solucionesysistemas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Head of Growth,https://es.linkedin.com/jobs/view/head-of-growth-at-canonical-4093799142?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=Y%2FbVVC%2BwAm6rdJEFyLKC0A%3D%3D&position=10&pageNum=27,2 months ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sevilla La Nueva, Community of Madrid, Spain"
"Data Engineer (Scala, Spark)",https://es.linkedin.com/jobs/view/data-engineer-scala-spark-at-capgemini-automotive-4144320776?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=pfQswL3nPcCKrckmIKWW5w%3D%3D&position=11&pageNum=27,3 days ago,Capgemini Automotive,https://www.linkedin.com/company/capgemini-automotive?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Head of Organisational Development,https://es.linkedin.com/jobs/view/head-of-organisational-development-at-canonical-4095616682?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=gc7y9r1WLjTDg6xU7rUejg%3D%3D&position=12&pageNum=27,1 month ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
"VP, Enterprise Software Engineering - B2B (Based in Dubai)",https://es.linkedin.com/jobs/view/vp-enterprise-software-engineering-b2b-based-in-dubai-at-property-finder-4030933323?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=KQpMSy4atxMtChXz%2FWCKmA%3D%3D&position=13&pageNum=27,1 week ago,Property Finder,https://ae.linkedin.com/company/propertyfinder-ae?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Software Engineer - Python - Container Images,https://es.linkedin.com/jobs/view/software-engineer-python-container-images-at-canonical-4089853693?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=g3j1TYWLgRkKnA7zuzy7fA%3D%3D&position=14&pageNum=27,2 months ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Quality Manager,https://es.linkedin.com/jobs/view/data-quality-manager-at-sulzer-services-4142301349?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=E0wMCT9gDhkPC0ZqBmPTLQ%3D%3D&position=15&pageNum=27,3 days ago,Sulzer Services,https://ch.linkedin.com/company/sulzer-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Process Mining Consultant - Celonis,https://es.linkedin.com/jobs/view/process-mining-consultant-celonis-at-roboyo-4097320695?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=WLZglzF1IlSPHA1jRFcJYw%3D%3D&position=16&pageNum=27,3 weeks ago,Roboyo,https://uk.linkedin.com/company/roboyo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
