job_title,job_detail_url,job_listed,company_name,company_link,company_location
Expert Data Scientist,https://es.linkedin.com/jobs/view/expert-data-scientist-at-bbva-4143647978?refId=o7Kjj6Or8GcAnvK3YrTh7Q%3D%3D&trackingId=4jHJXaTWuDY%2BetsHn%2BDGIA%3D%3D&position=23&pageNum=13,4 days ago,BBVA,https://es.linkedin.com/company/bbva?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Scientist,https://es.linkedin.com/jobs/view/data-scientist-at-innova-tsn-4142393609?refId=o7Kjj6Or8GcAnvK3YrTh7Q%3D%3D&trackingId=ywaajFRg456QLl%2FWWRjqsw%3D%3D&position=24&pageNum=13,3 days ago,Innova-tsn,https://es.linkedin.com/company/innovatsn?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analytics Senior Consultant - Adobe Analytics,https://es.linkedin.com/jobs/view/analytics-senior-consultant-adobe-analytics-at-jakala-iberia-3834275309?refId=o7Kjj6Or8GcAnvK3YrTh7Q%3D%3D&trackingId=rXFyLOKFbGWO9%2Bzf3ga7Rw%3D%3D&position=25&pageNum=13,1 year ago,JAKALA Iberia,https://es.linkedin.com/company/jakala-iberia?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-sdg-group-espa%C3%B1a-3931414992?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=b1EteKonsmBn0jv8XgDL1w%3D%3D&position=1&pageNum=14,5 days ago,SDG Group España,https://es.linkedin.com/company/sdg-group-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-podimo-4117175778?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=e8VBT37U8%2F7vKReDy2gBGQ%3D%3D&position=2&pageNum=14,1 month ago,Podimo,https://dk.linkedin.com/company/podimo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
SAS Developer 100% remoto,https://es.linkedin.com/jobs/view/sas-developer-100%25-remoto-at-slashmobility-4144115617?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=Ep3UhGELjojE5Pb9A5znCQ%3D%3D&position=3&pageNum=14,1 day ago,SlashMobility,https://es.linkedin.com/company/slashmobility?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analista Junior GDPR con Alemán | Banca Digital - Nforce Operaciones,https://es.linkedin.com/jobs/view/analista-junior-gdpr-con-alem%C3%A1n-banca-digital-nforce-operaciones-at-nworld-advisory-tech-operations-4144132504?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=kXXEtAQHYY1tZfu8d96PvQ%3D%3D&position=4&pageNum=14,1 day ago,"NWorld Advisory, Tech & Operations",https://es.linkedin.com/company/nworld-global?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Work with us!,https://es.linkedin.com/jobs/view/work-with-us%21-at-the-ct-engineering-group-3895052192?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=pyW3pkKrLPzWqodsJr0DKw%3D%3D&position=5&pageNum=14,1 week ago,THE CT ENGINEERING GROUP,https://es.linkedin.com/company/thectengineeringgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Scientist,https://es.linkedin.com/jobs/view/data-scientist-at-cabify-4068278433?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=B0YR3z2uEP3RVREgkvuORQ%3D%3D&position=6&pageNum=14,3 months ago,Cabify,https://es.linkedin.com/company/cabify?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer (Híbrido Madrid),https://es.linkedin.com/jobs/view/data-engineer-h%C3%ADbrido-madrid-at-sopra-steria-4136730872?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=v91%2B%2BSm7ehZAMvf3k94uCQ%3D%3D&position=7&pageNum=14,1 week ago,Sopra Steria,https://fr.linkedin.com/company/soprasteria?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Desarrolladora/or Junior Power Platform,https://es.linkedin.com/jobs/view/desarrolladora-or-junior-power-platform-at-grupo-aldesa-4122635112?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=JQA9lfJC5M9zughYF4nDJA%3D%3D&position=8&pageNum=14,1 day ago,Grupo Aldesa,https://es.linkedin.com/company/grupo-aldesa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Business Analyst,https://es.linkedin.com/jobs/view/business-analyst-at-mars-4131149104?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=wQkKEAqhd9R4XZ0Ow7ohPg%3D%3D&position=9&pageNum=14,2 weeks ago,Mars,https://www.linkedin.com/company/mars?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
