,job_title,job_detail_url,job_listed,company_name,company_link,company_location
236,Senior Software Engineer (C# / Java),https://es.linkedin.com/jobs/view/senior-software-engineer-c%23-java-at-oliver-bernard-4141499923?refId=27zDqnaAzgOwPOyBAP6gyA%3D%3D&trackingId=aW7vQm%2BHkgni5MU4Ru34tg%3D%3D&position=10&pageNum=28,4 days ago,Oliver Bernard,https://uk.linkedin.com/company/oliverbernard?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
237,BI Specialist,https://es.linkedin.com/jobs/view/bi-specialist-at-amadeus-4143600364?refId=BzKsdm%2FLcWVFlzPY6XXEyg%3D%3D&trackingId=Rt3hxBNYjln37m0Yv%2FuO3A%3D%3D&position=23&pageNum=29,4 days ago,Amadeus,https://es.linkedin.com/company/amadeus?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
238,Senior Software Engineer - High Performance Transaction Systems,https://es.linkedin.com/jobs/view/senior-software-engineer-high-performance-transaction-systems-at-datadog-3964927124?refId=iogc%2B4XiXLpYrKPr7Us7Lw%3D%3D&trackingId=xMvEf6OfzJOT%2BXCvtWqMPA%3D%3D&position=11&pageNum=32,4 days ago,Datadog,https://www.linkedin.com/company/datadog?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
239,Senior Software Engineer - Full Stack Web,https://es.linkedin.com/jobs/view/senior-software-engineer-full-stack-web-at-p2p-org-4143387285?refId=iogc%2B4XiXLpYrKPr7Us7Lw%3D%3D&trackingId=yG6%2BaQ0mTNuGjDYOZdWDbQ%3D%3D&position=19&pageNum=32,4 days ago,P2P.org,https://ky.linkedin.com/company/p2p-org?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
240,Data Scientist,https://es.linkedin.com/jobs/view/data-scientist-at-hays-4118611352?refId=iogc%2B4XiXLpYrKPr7Us7Lw%3D%3D&trackingId=crWm2tEz37olTeOGfc02zw%3D%3D&position=21&pageNum=32,4 days ago,Hays,https://uk.linkedin.com/company/hays?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pozuelo de Alarcón, Community of Madrid, Spain"
241,Sr Software Engineer,https://es.linkedin.com/jobs/view/sr-software-engineer-at-pagonxt-a-santander-company-4143634221?refId=GB%2Fwwj7Zi4x1VtaSwZK9nQ%3D%3D&trackingId=OQgbaMQU%2BGDkL%2FdCp4gqcQ%3D%3D&position=5&pageNum=33,4 days ago,PagoNxt (a Santander company),https://es.linkedin.com/company/pagonxt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
242,Experto/a en IA,https://es.linkedin.com/jobs/view/experto-a-en-ia-at-mapfre-4143653552?refId=GB%2Fwwj7Zi4x1VtaSwZK9nQ%3D%3D&trackingId=9OasgGDqzEuZH47pUUzJMA%3D%3D&position=9&pageNum=33,4 days ago,MAPFRE,https://es.linkedin.com/company/mapfre?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
243,Senior Software Engineer - Internal Service Platform,https://es.linkedin.com/jobs/view/senior-software-engineer-internal-service-platform-at-datadog-4082643644?refId=GB%2Fwwj7Zi4x1VtaSwZK9nQ%3D%3D&trackingId=BDxMn29Ql3k2iVMNYOhHAA%3D%3D&position=11&pageNum=33,4 days ago,Datadog,https://www.linkedin.com/company/datadog?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
244,Experto/a en Gobierno de la IA,https://es.linkedin.com/jobs/view/experto-a-en-gobierno-de-la-ia-at-mapfre-4143658102?refId=jYUCayDj5AktnYUNOxZvEQ%3D%3D&trackingId=NQGe1XKg9VPEftjnvPkvpg%3D%3D&position=9&pageNum=34,4 days ago,MAPFRE,https://es.linkedin.com/company/mapfre?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
245,Clinical Data Scientist,https://es.linkedin.com/jobs/view/clinical-data-scientist-at-psi-cro-ag-4122408989?refId=k9%2FkRnfSBzcobArEZmRAig%3D%3D&trackingId=WgYFUzTuEf2wiGFyftG%2FhQ%3D%3D&position=3&pageNum=35,4 days ago,PSI CRO AG,https://ch.linkedin.com/company/psi-cro-ag?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
